ProductTypeId;ParentGroupedProductId;VisibleIndividually;Name;ShortDescription;FullDescription;ProductTemplateId;ShowOnHomePage;HomePageDisplayOrder;MetaKeywords;MetaDescription;MetaTitle;SeName;AllowCustomerReviews;Published;SKU;ManufacturerPartNumber;Gtin;IsGiftCard;GiftCardTypeId;RequireOtherProducts;RequiredProductIds;AutomaticallyAddRequiredProducts;IsDownload;DownloadId;UnlimitedDownloads;MaxNumberOfDownloads;DownloadActivationTypeId;HasSampleDownload;SampleDownloadId;HasUserAgreement;UserAgreementText;IsRecurring;RecurringCycleLength;RecurringCyclePeriodId;RecurringTotalCycles;IsShipEnabled;IsFreeShipping;AdditionalShippingCharge;IsEsd;IsTaxExempt;TaxCategoryId;ManageInventoryMethodId;StockQuantity;DisplayStockAvailability;DisplayStockQuantity;MinStockQuantity;LowStockActivityId;NotifyAdminForQuantityBelow;BackorderModeId;AllowBackInStockSubscriptions;OrderMinimumQuantity;OrderMaximumQuantity;AllowedQuantities;DisableBuyButton;DisableWishlistButton;AvailableForPreOrder;CallForPrice;Price;OldPrice;ProductCost;SpecialPrice;SpecialPriceStartDateTimeUtc;SpecialPriceEndDateTimeUtc;CustomerEntersPrice;MinimumCustomerEnteredPrice;MaximumCustomerEnteredPrice;Weight;Length;Width;Height;CreatedOnUtc;CategoryIds;ManufacturerIds;Picture1;Picture2;Picture3;DeliveryTimeId;QuantityUnitId;BasePriceEnabled;BasePriceMeasureUnit;BasePriceAmount;BasePriceBaseAmount;BundleTitleText;BundlePerItemShipping;BundlePerItemPricing;BundlePerItemShoppingCart;BundleItemSkus;AvailableStartDateTimeUtc;AvailableEndDateTimeUtc;StoreIds;LimitedToStores;Name[DE];ShortDescription[DE];FullDescription[DE];Name[en];ShortDescription[en];FullDescription[en]
5;0;True;_Zero Price;;"<p><span style=""color: #000000;"">Optisch zum Verwechseln &auml;hnlich, ebenso kompakt und leicht wie die erfolgreiche SD19, aber mit noch besserer Aufl&ouml;sung, pr&auml;sentiert sich die brandneue AEE SD21 PRO Action-Cam. Die SD21 PRO ist eine komplette Neuentwicklung, mit Innovationen und einer Ausstattung, die es bisher in diesem Preissegment noch nicht gab.</span><br />  <span style=""color: #000000;"">Bei der SD21 PRO ist die Monitor-R&uuml;ckwand wie auch die Fernbedienung ebenso selbstverst&auml;ndlich wie der aufsteckbare Zusatzakku f&uuml;r noch l&auml;ngere Power.</span><br />  <span style=""color: #000000;"">F&uuml;r einfaches, unkompliziertes Justieren der Kamera ist ein Laserpointer integriert. Der 10-fach Digitalzoom und die hochwertige Optik garantieren f&uuml;r optimale Aufnahmeergebnisse bei allen Bedingungen.</span></p>    <table border=""0"">  	<tbody>  		<tr>  			<td>  			<p style=""font-size: 13px; line-height: 18px;""><strong><span style=""color: #000000;"">Highlights SD21 PRO:</span></strong></p>    			<ul style=""font-size: 13px; line-height: 18px;"">  				<li><span style=""color: #000000;"">1/3 Zoll CMOS-Sensor 8,0 Megapixel</span></li>  				<li><span style=""color: #000000;"">170&deg; Weitwinkel-Objektiv, Blende F/3.0</span></li>  				<li><span style=""color: #000000;"">10x Digitalzoom</span></li>  				<li><span style=""color: #000000;"">Automatische Belichtung und Weissabgleich</span></li>  				<li><span style=""color: #000000;"">Externes TFT-Display mit Echtzeit-Anzeige f&uuml;r Video und das Abspielen aufgezeichneter Inhalte</span></li>  				<li><span style=""color: #000000;"">Laserpointer als Aufnahmeorientierung</span></li>  				<li><span style=""color: #000000;"">Selbst-/Zeit-Ausl&ouml;ser mit Kontroll-LED</span></li>  				<li><span style=""color: #000000;"">Eingebautes Mikrofon f&uuml;r hochwertige Stereo-Voice-Aufnahmen</span></li>  				<li><span style=""color: #000000;"">Wasserdichtes Geh&auml;use bis 60 Meter (IP68-Standard)</span></li>  				<li><span style=""color: #000000;"">Hochleistungs-Lithium-Batterie</span></li>  				<li><span style=""color: #000000;"">Aufsteckbarer Zusatzakku mit eigener Ladestandsanzeige - verdoppelt die Aufnahmedauer</span></li>  				<li><span style=""color: #000000;"">Auto Stand-by zur Energieeinsparung</span></li>  				<li><span style=""color: #000000;"">Funktionen: HD-Videoaufnahme / Foto</span></li>  				<li><span style=""color: #000000;"">Recording MOV Videos k&ouml;nnen direkt am PC wiedergegeben oder auf Video-Websites hochgeladen werden</span></li>  				<li><span style=""color: #000000;"">Photo 180-Grad-Umkehr-Funktion</span></li>  				<li><span style=""color: #000000;"">Externe Micro SD/MMC-Speicherkarte, unterst&uuml;tzt bis max. 64GB (nicht enthalten)</span></li>  				<li><span style=""color: #000000;"">Speicherkapazit&auml;t Alarm</span></li>  				<li><span style=""color: #000000;"">Schneller Vor- und R&uuml;cklauf, Funktion zum &Uuml;berspringen von Inhalten in das n&auml;chste Segment</span></li>  				<li><span style=""color: #000000;"">Unterst&uuml;tzung USB2.0</span></li>  				<li><span style=""color: #000000;"">HDMI-Ausgang, AV-OUT-Funktion</span></li>  				<li><span style=""color: #000000;"">Support-System: Windows 98SE/2000/Me/XP/Vista/Win 7/Mac OS</span></li>  			</ul>    			<p><span style=""font-size: small;""><strong style=""background-color: transparent; color: #000000;"">Gr&ouml;sse:</strong><span style=""background-color: transparent; color: #000000;"">&nbsp;ca. 61x43x40mm (BxHxT)</span></span></p>    			<p><span style=""color: #000000; font-size: small;""><strong>Gewicht:</strong>&nbsp;88g ohne Bildschirm, 112g mit Bildschirm</span></p>  			</td>  			<td>  			<p style=""font-size: 13px; line-height: 18px;""><strong><span style=""color: #000000;"">Technische Daten SD21 PRO:</span></strong></p>    			<ul style=""font-size: 13px; line-height: 18px;"">  				<li><span style=""color: #000000;"">Aufl&ouml;sung/Sensor: 8.0M CMOS-Sensor (3200 * 2400)</span></li>  				<li><span style=""color: #000000;"">Optik / Linse: 170&deg; Weitwinkel-Objektiv, Blende F/3.0</span></li>  				<li><span style=""color: #000000;"">Geh&auml;use: IP68 wasserdichtes Geh&auml;use bis 60m</span></li>  				<li><span style=""color: #000000;"">Memory-Karte: Micro SD unterst&uuml;tzt bis 64GB (nicht enthalten)</span></li>  				<li><span style=""color: #000000;"">Photo-Modus: 3M (2048 * 1536) / 5M (2560 * 1920) / 8M (3200 * 2400)</span></li>  				<li><span style=""color: #000000;"">Video-Aufnahmemodus: 1080P 720P WVGA QVGA</span></li>  				<li><span style=""color: #000000;"">Bildrate: 1080P/30fps 720P/30fps WVGA/60fps QVGA/30fps</span></li>  				<li><span style=""color: #000000;"">Video-Aufnahmeformat: MOV (H.264-Video-Kompression)</span></li>  				<li><span style=""color: #000000;"">Photo-Format: JPEG</span></li>  				<li><span style=""color: #000000;"">Aufnahmekapazit&auml;t (2GB SDKarte):</span></li>  				<li><span style=""color: #000000;"">Photos 3M (1900pcs), 5M (1160pcs), 8M (770pcs) /</span></li>  				<li><span style=""color: #000000;"">Videos: 720P/60min, WVGA/135min</span></li>  				<li><span style=""color: #000000;"">Laserpointer/Laserleistung: 1MW</span></li>  				<li><span style=""color: #000000;"">AV OUT: Unterst&uuml;tzung NTSC / PAL VGA und HDMI</span></li>  				<li><span style=""color: #000000;"">USB: USB2.0</span></li>  				<li><span style=""color: #000000;"">Mikrofon: 2 Mikrofone, eingebaute</span></li>  				<li><span style=""color: #000000;"">Leistungsaufnahme: 500mA@3.7V (MAX)</span></li>  				<li><span style=""color: #000000;"">Lithium-Batterie: 1000mAh</span></li>  				<li><span style=""color: #000000;"">Batterielaufzeit: 2.5h / Batterie</span></li>  				<li><span style=""color: #000000;"">Betriebssystem: Windows XP SP2/Vista oder h&ouml;her / Mac OS. CPU:</span></li>  				<li><span style=""color: #000000;"">Pentium4 1.5GHZ oder h&ouml;her RAM: min. 1GB</span></li>  				<li><span style=""color: #000000;"">RTC-Funktion: Unterst&uuml;tzung</span></li>  				<li><span style=""color: #000000;"">Lagertemperatur: -20 bis -60 </span></li>  				<li><span style=""color: #000000;"">Betriebstemperatur: -10 bis -50 </span></li>  				<li><span style=""color: #000000;"">Luftfeuchtigkeit bei Betrieb: 15 85% RH</span></li>  			</ul>  			</td>  		</tr>  		<tr>  			<td>  			<p style=""font-size: 13px; line-height: 18px;""><iframe frameborder=""0"" height=""350"" src=""http://www.youtube.com/embed/BpMSeEpTEvA"" width=""425""></iframe></p>  			</td>  			<td><iframe frameborder=""0"" height=""350"" src=""http://www.youtube.com/embed/mHXcy1O3o4E"" width=""425""></iframe></td>  		</tr>  	</tbody>  </table>    <p><span style=""color: #000000;"">&nbsp;</span></p>  ";2;True;0;;;_Wasser;_zero-price-3;True;True;;;;False;0;False;;False;False;0;False;0;1;False;;False;;False;0;0;0;True;False;0,0000;False;False;1;0;0;False;False;0;0;1;0;False;1;10000;;False;True;False;False;0.0000;0.0000;0.0000;;0.0;0.0;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;42302,5461930208;"1;2095";;D:\Develop\Git\smartstorenetfull\SmartStoreNET\src\Presentation\SmartStore.Web\Media\Thumbs\0000\0000696-_zero-price.jpg;;;2;;True;l;35.0000;100;;False;False;False;;;;1;True;;;;;;
5;0;True;Bundle Item 2;;;2;False;0;;;;bundle-item-2;True;True;;;;False;0;False;;False;False;0;True;10;1;False;;False;;False;100;0;10;True;False;0,0000;False;False;1;0;10000;False;False;0;0;0;0;False;1;10000;;False;False;False;False;19.9000;0.0000;0.0000;;0.0;0.0;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;41965,4767811343;;;;;;;;False;ounce;;;;False;False;False;;;;;False;;;;;;
5;0;True;Bundle Item 1;;;2;False;0;;;;bundle-item-1;True;True;;;;False;0;False;;False;False;0;True;10;1;False;;False;;False;100;0;10;True;False;0,0000;False;False;1;0;0;False;False;0;0;0;0;False;1;10000;;False;False;False;False;84.9000;0.0000;0.0000;;0.0;0.0;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;41965,4671613079;;;;;;;;False;ounce;;;;False;False;False;;;;;False;;;;;;
5;0;True;_Download;;"<p>Downloadable product.</p>  ";2;False;0;;;;_download;True;True;;;;False;0;False;;False;True;8;True;10;1;False;;False;;False;100;0;10;False;False;0,0000;False;False;1;0;10000;False;False;0;0;1;0;False;1;10000;;False;False;False;False;3.8000;0.0000;0.0000;;0.0;0.0;False;0.0000;1000.0000;0.0000;0.0000;0.0000;0.0000;41863,7438013542;"1;2095";;;;;;;False;ounce;;;;False;False;False;;;;;False;;;;;;
5;0;True;_Attribut Test;;"<p>Continually incubate standards compliant content vis-a-vis multifunctional portals. Dynamically exploit collaborative strategic theme areas vis-a-vis extensive partnerships. Monotonectally maximize user friendly relationships for backward-compatible alignments. Objectively deliver covalent opportunities after exceptional scenarios. Objectively drive backend paradigms via excellent meta-services. Uniquely customize sticky core competencies rather than leveraged internal or &quot;organic&quot; sources. Objectively conceptualize client-based users without customer directed applications. Continually generate backend processes and market-driven markets. Proactively evisculate visionary testing procedures with fully tested networks. Collaboratively facilitate B2C schemas vis-a-vis covalent meta-services. Proactively recaptiualize progressive quality vectors vis-a-vis frictionless supply chains. Distinctively synthesize revolutionary leadership vis-a-vis strategic e-markets. Distinctively pontificate principle-centered benefits with pandemic resources. Professionally pontificate multifunctional strategic theme areas via low-risk high-yield data. Uniquely underwhelm technically sound information before functional synergy. Progressively utilize 24/365 ROI whereas client-based interfaces. Seamlessly reintermediate alternative customer service through plug-and-play quality vectors. Professionally repurpose one-to-one scenarios without visionary supply chains. Enthusiastically unleash timely applications after an expanded array of e-commerce. Monotonectally pursue virtual intellectual capital after high standards in scenarios. Professionally benchmark end-to-end internal or &quot;organic&quot; sources with maintainable supply chains. Authoritatively disseminate high-payoff imperatives for stand-alone infomediaries. Completely network stand-alone initiatives for market positioning intellectual capital. Appropriately deliver process-centric collaboration and idea-sharing after multifunctional leadership. Energistically unleash open-source vortals vis-a-vis transparent niches.</p>  ";2;False;0;;;;ab-22;True;True;SKU-Tester;;;False;0;False;;False;False;7;True;10;1;False;;False;;False;100;0;10;True;False;0,0000;False;False;1;2;10000;True;False;0;1;1;0;False;1;10000;;False;False;False;False;0.0000;0.0000;0.0000;;0.0;0.0;False;0.0000;1000.0000;0.0000;0.0000;0.0000;0.0000;41833,6856570949;"1;2095";;;;;2;;False;ounce;;;;False;False;False;;;;;False;;;;;;
5;0;True;_GiftCard;;<p>GiftCart for testing.</p>;2;False;0;;;;_giftcard-2;True;True;;;;True;0;False;;False;False;0;True;10;1;False;;False;;False;100;0;10;False;False;0,0000;False;False;1;0;10000;False;False;0;0;1;0;False;1;10000;;False;False;False;False;10.0000;0.0000;0.0000;;0.0;0.0;False;0.0000;1000.0000;0.0000;0.0000;0.0000;0.0000;41701,4763476505;1;;;;;;;False;ounce;;;;False;False;False;;;;;False;;;;;;
5;0;True;GiftCard;;;2;False;0;;;;_giftcard;True;True;;;;True;0;False;;False;False;0;True;10;1;False;;False;;False;100;0;10;True;False;0,0000;False;False;1;0;10000;False;False;0;0;1;0;False;1;10000;;False;False;False;False;10.0000;0.0000;0.0000;;0.0;0.0;False;0.0000;1000.0000;0.0000;0.0000;0.0000;0.0000;41671,8425473727;2095;;D:\Develop\Git\smartstorenetfull\SmartStoreNET\src\Presentation\SmartStore.Web\Media\Thumbs\0000\0000666-giftcard.jpg;;;;;False;ounce;;;;False;False;False;;;;;False;;;;;;
15;0;True;_SmartStore Bundle;;"<p>SmartStore Test Bundle</p>  ";2;False;0;;;_SmartStore Bundle;_smartstore-bundle;True;True;PD-01097;;;False;0;False;;False;False;0;False;0;1;False;;False;;False;0;0;0;True;False;0,0000;False;False;1;0;10000;False;False;0;1;1;0;False;1;10000;;False;False;False;False;888.0000;0.0000;0.0000;;0.0;0.0;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;41656,6659837963;"81;2095";;;;;1;;False;;;;Bestehend aus;False;False;True;;;;;False;;;;;;
15;0;True;_Bundle;;"<p>My product bundle.</p>  ";2;False;0;;;;_bundle;True;True;SKU-1001;;;False;0;False;;False;False;0;True;10;1;False;;False;;False;100;0;10;True;False;0,0000;False;False;1;1;9999;False;False;10;0;1;1;False;1;10000;;False;False;False;False;499.0000;0.0000;260.6000;;0.0;0.0;False;0.0000;1000.0000;0.0000;0.0000;0.0000;0.0000;41656,5811581829;"81;2095";;D:\Develop\Git\smartstorenetfull\SmartStoreNET\src\Presentation\SmartStore.Web\Media\Thumbs\0000\0000665-_bundle.jpg;D:\Develop\Git\smartstorenetfull\SmartStoreNET\src\Presentation\SmartStore.Web\Media\Thumbs\0000\0000667-_bundle.jpg;D:\Develop\Git\smartstorenetfull\SmartStoreNET\src\Presentation\SmartStore.Web\Media\Thumbs\0000\0000668-_bundle.jpg;2;;False;kg;3.0000;1;Bestehend aus;False;False;True;P-6000,P-2930,P-2940,P-2950;;;;False;;;;;;
10;0;True;_Gruppenprodukt;Grouped product;"<p>Tortor dis facilisis augue eros. Porta turpis! Augue! Magna mattis porttitor aliquet eu, montes magna nunc pulvinar hac, augue porttitor, ridiculus! Pulvinar, in tortor risus in scelerisque platea, pulvinar pid! Dapibus proin diam. Pellentesque cum! Tincidunt, tempor a magna turpis, mid amet, aenean, placerat. Phasellus? Tempor, cursus lacus porttitor ac, in tincidunt sociis vel? Eu velit dapibus integer enim risus augue phasellus odio turpis, sociis, eros dapibus et sed auctor, nec nisi montes, egestas integer eu rhoncus tortor integer montes sit scelerisque nec integer! Vel aliquet vut aliquet dis integer sed urna lectus sed habitasse etiam! Nunc purus augue dictumst, lectus platea? Turpis montes cras ultricies, adipiscing? Nunc. Cursus in! In ultricies parturient etiam augue, tempor mauris pellentesque purus rhoncus.</p>    <p>Vut vut et amet, phasellus? Et in integer enim, aenean elit, montes cum elementum nascetur a penatibus! Ac magna lorem ac placerat, lectus. Scelerisque habitasse elementum sociis scelerisque rhoncus. Natoque mattis parturient tempor dictumst turpis, hac placerat dolor nunc penatibus. Facilisis tristique massa facilisis? Rhoncus habitasse sit! Aenean aliquet ut quis ut in amet ut, phasellus augue sit tempor nunc dictumst eu, porta amet augue, mattis facilisis ac! Turpis egestas ridiculus, lacus in, sed placerat, odio lundium tincidunt nisi amet rhoncus. Augue cras! Velit, mattis! Auctor nisi mus? Amet nunc elementum placerat vut! Porttitor pid porta amet sit magnis, nisi ut cursus. Egestas sed auctor amet nec sit dapibus amet dis? Odio velit ac, hac cum ridiculus, amet ac.</p>    <p>Integer nisi natoque dictumst, facilisis! Phasellus turpis, pellentesque in! Dictumst pid, nisi a porttitor nec. Nunc natoque magnis etiam odio a diam vut integer aenean magnis cum lundium aenean, risus scelerisque, penatibus! Enim enim, scelerisque non placerat ut auctor, ac parturient auctor tincidunt, porttitor a est sit, nascetur scelerisque lorem in turpis sagittis mus! Enim turpis hac dis? Sit, porta nunc rhoncus ac? Integer tincidunt est porttitor, tincidunt natoque facilisis, facilisis, hac lorem elementum pulvinar tincidunt odio, dignissim cursus, urna auctor magna aliquam! Dolor duis ac tincidunt, magna! A! Urna, enim nascetur cursus, tincidunt aenean ac dis odio vel, ut lacus, duis sed in porttitor massa penatibus enim penatibus integer, augue urna scelerisque nunc elementum tincidunt duis tortor etiam.</p>    <p>Parturient pulvinar, lacus ut ultrices rhoncus massa! Velit et elementum pulvinar. Urna, magna integer. Nunc hac rhoncus? Amet eu? Sit in ac tortor. Lundium, pulvinar porttitor, tortor! Eros eu. Enim velit tristique elementum? Risus auctor tincidunt vut phasellus pellentesque! Turpis rhoncus vut, purus vel. Nunc ac augue! Ac sagittis pulvinar, in, duis adipiscing, velit sagittis? Penatibus mus scelerisque, nec! Dapibus scelerisque, augue turpis aenean, platea, urna integer risus a aliquet sagittis mid est elementum. Scelerisque? Tincidunt, vel vel natoque. Proin pulvinar sed placerat, cum amet nascetur scelerisque penatibus, ut, amet mus, duis placerat ac mus nec turpis facilisis dolor. Ultrices platea! Et magna enim rhoncus adipiscing odio, platea velit. Purus nunc duis! Enim velit integer facilisis nec? Diam mus.</p>    <p>Habitasse purus, sed vut cras non porta tincidunt facilisis, tristique, urna integer risus risus magna dictumst dignissim etiam mid! Vut risus lacus placerat, nunc a tincidunt, sociis est elementum, rhoncus pid, ridiculus quis nunc? In est scelerisque dignissim proin tortor sed, quis aenean! Et placerat in vut, risus! Augue. Lundium pid. Sit elit! Sed lorem mus ac pulvinar sit integer odio dignissim montes, adipiscing magna adipiscing porta nunc nascetur sit. Quis tortor ridiculus, in, vut tincidunt urna mus, pulvinar a! Enim arcu nec ultricies lacus sagittis mattis mauris dictumst, magna amet habitasse ut et ac! Ac amet dolor scelerisque. Auctor sit eu vut ac, velit massa tempor! Montes, dis odio quis, magna ac, phasellus purus scelerisque etiam odio penatibus.</p>    <p>Nec habitasse rhoncus. Pulvinar, et porta, porta tristique odio ut, massa! Purus phasellus eros porttitor, aliquet nascetur, montes turpis? Magna scelerisque rhoncus in dapibus, lundium porttitor, augue, ut placerat. Habitasse dictumst ac cursus pulvinar pid platea. Nascetur cum augue urna nunc? Magnis, arcu, pid pulvinar, natoque sed? In parturient porttitor facilisis mauris sed? Nec cras, urna et augue tristique, tincidunt tortor auctor non? Amet magna et aliquam sit sed, mid, augue pid massa sit tincidunt placerat placerat massa montes magna dapibus, ut pulvinar hac urna parturient nec dolor nunc, tristique nec proin amet ultricies magna, sociis vel etiam dolor? Augue vel augue rhoncus rhoncus enim pid tristique sit porta sit augue, tristique adipiscing! Dignissim, dictumst aliquam lundium rhoncus turpis.</p>    <p>Mattis platea mauris, etiam duis amet, phasellus massa, mattis, nunc sed massa integer etiam mid dis velit in sagittis vel? Mauris. Enim mid integer, lundium! Mid pid aenean mattis elementum, nunc dis etiam augue augue vel, vel rhoncus tincidunt purus porta pellentesque, pid eu aliquet, ultricies tempor sociis? Dolor! Ac ultrices ultricies! Nec enim! Mauris lorem duis magna tincidunt, vel cursus dis. Pellentesque, urna, mid integer et ac lectus elit velit lectus scelerisque mauris nunc. Aliquet platea adipiscing, sagittis urna dolor vel rhoncus a duis, ac nec diam tincidunt odio! Hac porttitor sed ac parturient purus mauris, urna etiam, nec diam magna pellentesque turpis placerat magnis eros ridiculus, elementum lorem, tempor natoque? Ultrices sed nec dapibus eu rhoncus penatibus? Urna.</p>    <p>Quis dolor elementum mauris! Ridiculus, auctor in, tortor ut risus velit pulvinar, porta urna rhoncus magna ultrices! Proin integer, cras rhoncus pid integer, nec odio ac, et? Dictumst pulvinar enim adipiscing facilisis ac mid nec? Pulvinar et non tristique! Sit pulvinar, pulvinar penatibus tincidunt, habitasse integer nunc! Tincidunt amet natoque facilisis aliquam tortor. Etiam duis tristique arcu egestas, et, sagittis nec ac aliquam pulvinar aliquet, adipiscing, nisi, sit sit, egestas risus. Ac. Adipiscing elit sit turpis in nec amet, nec in porta sed. Vel in in sit ultricies. Risus. Cum nascetur integer risus phasellus? Lacus mid auctor enim, enim scelerisque elementum vut a, diam eros sit duis, nascetur magna, est in dignissim adipiscing. Quis. Enim sociis egestas? Ut scelerisque.</p>    <p>Elit placerat turpis, porttitor penatibus phasellus! In magnis eros ut, turpis? Pid? Odio et et, mauris aenean, purus turpis, adipiscing aliquet sed tortor! Turpis dapibus amet augue ut turpis montes mauris aliquam! Penatibus est, sagittis amet nunc ultrices ultrices, amet massa enim aliquam vel odio? Purus turpis? Urna tincidunt! Elementum magna integer enim, porttitor sed aenean mus phasellus vut lorem in ac sociis, in aenean, est! Adipiscing placerat tristique, nec nunc risus turpis. Ut, porta tincidunt dapibus, dignissim? Rhoncus turpis, enim massa massa platea magnis augue amet? Sit, rhoncus, augue magna aenean lorem a et. Cum lorem. Ultrices, duis! Ultrices etiam augue ridiculus! Adipiscing? Egestas elementum magna pulvinar augue, porta elementum aliquet et facilisis phasellus auctor adipiscing lacus tincidunt.</p>    <p>Nec porta scelerisque ut ac etiam ac lorem cursus urna risus, amet egestas, tristique, etiam vut, adipiscing! Nunc cum habitasse pulvinar eros purus eros turpis in nascetur, habitasse adipiscing. Mattis. Nisi augue turpis, tortor, integer? Velit dis et, tristique augue. Scelerisque elementum adipiscing velit phasellus cras risus tincidunt ut rhoncus montes, scelerisque, ultricies. Et nascetur? Dis adipiscing. Natoque, turpis? Augue facilisis, dapibus augue? Elementum, tortor ac. Integer, nunc dictumst, diam nunc, augue nec non. Risus odio. Odio amet ultrices! Et urna nisi magna nisi nunc pulvinar habitasse facilisis in nunc velit natoque placerat rhoncus auctor? Magna pulvinar pulvinar augue, elementum adipiscing! Nascetur augue! Eros mus, nisi porta integer sed cras porttitor scelerisque. Pulvinar lorem turpis! Etiam, dictumst ac elit.</p>    <p>Vel augue placerat tempor nunc tortor purus, egestas ut lacus massa quis nec non odio amet, tincidunt parturient nunc urna eros turpis ridiculus cursus penatibus mattis penatibus augue sed! Montes scelerisque. Et dictumst adipiscing lundium, tristique, enim nascetur, cum? Non pellentesque! Mauris magna sit, porttitor, magnis, vel, nisi ultrices velit! Pellentesque, amet augue mid placerat dignissim ac etiam scelerisque, ultrices purus etiam enim, scelerisque sit turpis montes porta nunc cras enim. Non risus in enim mattis nunc. Etiam adipiscing porttitor. Massa, nunc ultricies placerat enim. Est phasellus egestas porttitor. Et et elementum tempor ac? Proin! Augue tempor cras, eros! Rhoncus scelerisque auctor eu eu, diam? Nunc egestas, lectus cum, scelerisque, elementum, scelerisque magna, tempor elit arcu dictumst? Dis elementum.</p>    <p>Nascetur, cras cras ridiculus lorem ac lectus enim proin odio sit lectus lorem dapibus enim. Ac nisi porttitor aliquet aliquam aenean non lacus, rhoncus pulvinar tempor dapibus dolor aliquam. In, in tincidunt penatibus cras et, lundium, sed turpis sit nunc odio, phasellus rhoncus urna facilisis platea adipiscing, mid etiam nascetur, enim, vut elementum, duis et ridiculus, penatibus urna non? Aliquam turpis augue phasellus risus diam egestas penatibus vel dignissim dignissim, ut! Elementum pulvinar et nascetur dapibus enim lundium hac platea scelerisque pellentesque facilisis! Quis, scelerisque pulvinar aliquet tincidunt elementum aliquam velit? Eros mid in facilisis, porttitor augue mattis ut, elementum placerat! Adipiscing ut augue! Facilisis in facilisis porttitor penatibus! Vel urna ridiculus magna, integer? Amet, penatibus cursus porttitor nisi.</p>  ";1;False;0;;;;_gruppenprodukt-2;True;True;SKU-1000;;;False;0;False;;False;False;0;True;10;1;False;;False;;False;100;0;10;True;False;0,0000;False;False;1;0;9999;False;False;0;0;1;0;False;1;10000;;False;False;False;False;0.0000;0.0000;0.0000;;0.0;0.0;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;41645,6860016551;"2095;1;81";;D:\Develop\Git\smartstorenetfull\SmartStoreNET\src\Presentation\SmartStore.Web\Media\Thumbs\0000\0000672-_gruppenprodukt.jpg;;;;;False;;;;;False;False;False;;;;;False;;;;;;
